Adj Close,Close,Date,High,Low,Open,Volume
81092.078125,83000.0,2021-01-04,84400.0,80200.0,81000.0,38655276
81971.390625,83900.0,2021-01-05,83900.0,81600.0,81600.0,35335669
80310.4609375,82200.0,2021-01-06,84500.0,82100.0,83300.0,42089013
80994.359375,82900.0,2021-01-07,84200.0,82700.0,82800.0,32644642
86758.7578125,88800.0,2021-01-08,90000.0,83000.0,83300.0,59013307
88908.171875,91000.0,2021-01-11,96800.0,89500.0,90000.0,90306177
88517.375,90600.0,2021-01-12,91400.0,87800.0,90300.0,48682416
87638.0625,89700.0,2021-01-13,91200.0,89100.0,89800.0,36068848
87638.0625,89700.0,2021-01-14,90000.0,88700.0,88700.0,26393970
85977.1328125,88000.0,2021-01-15,91800.0,88000.0,89800.0,33431809
83046.09375,85000.0,2021-01-18,87300.0,84100.0,86600.0,43227951
85000.125,87000.0,2021-01-19,88000.0,83600.0,84500.0,39895044
85195.53125,87200.0,2021-01-20,89000.0,86500.0,89000.0,25211127
86074.84375,88100.0,2021-01-21,88600.0,86500.0,87500.0,25318011
84804.71875,86800.0,2021-01-22,89700.0,86800.0,89000.0,30861661
87344.953125,89400.0,2021-01-25,89900.0,86300.0,87000.0,27258534
84707.015625,86700.0,2021-01-26,89200.0,86500.0,88800.0,33178936
83632.3046875,85600.0,2021-01-27,87700.0,85600.0,86600.0,26423070
81775.9765625,83700.0,2021-01-28,85600.0,83200.0,83200.0,31859808
80115.0546875,82000.0,2021-01-29,85000.0,82000.0,84500.0,39615978
81092.078125,83000.0,2021-02-01,83400.0,81000.0,81700.0,28046832
82459.8828125,84400.0,2021-02-02,86400.0,83700.0,84100.0,26302077
82655.2890625,84600.0,2021-02-03,85400.0,83400.0,84800.0,22112205
80603.5625,82500.0,2021-02-04,83800.0,82100.0,83500.0,24171688
81580.5703125,83500.0,2021-02-05,84000.0,82500.0,83100.0,18036835
81092.078125,83000.0,2021-02-08,84200.0,83000.0,83800.0,15338765
80798.96875,82700.0,2021-02-09,84800.0,82700.0,84000.0,20898332
79724.2578125,81600.0,2021-02-10,82600.0,81600.0,82600.0,23025766
82264.484375,84200.0,2021-02-15,84500.0,83300.0,83800.0,23529706
82948.390625,84900.0,2021-02-16,86000.0,84200.0,84500.0,20483100
81287.4765625,83200.0,2021-02-17,84200.0,83000.0,83900.0,18307735
80212.7578125,82100.0,2021-02-18,83600.0,82100.0,83200.0,21327683
80701.2578125,82600.0,2021-02-19,82800.0,81000.0,82300.0,25880879
80310.4609375,82200.0,2021-02-22,84200.0,82200.0,83800.0,25419886
80115.0546875,82000.0,2021-02-23,82900.0,81100.0,81200.0,20587314
80115.0546875,82000.0,2021-02-24,83600.0,81300.0,81800.0,26807651
83339.1953125,85300.0,2021-02-25,85400.0,83000.0,84000.0,34155986
80603.5625,82500.0,2021-02-26,83400.0,82000.0,82800.0,38520800
81678.28125,83600.0,2021-03-02,85300.0,83000.0,85100.0,33498180
82069.0859375,84000.0,2021-03-03,84000.0,82800.0,83500.0,19882132
80505.8671875,82400.0,2021-03-04,83200.0,82200.0,82600.0,24348331
80212.7578125,82100.0,2021-03-05,82600.0,81100.0,81100.0,20508971
80115.0546875,82000.0,2021-03-08,83000.0,81600.0,82900.0,17641256
79528.859375,81400.0,2021-03-09,81900.0,80600.0,81400.0,25420764
79040.34375,80900.0,2021-03-10,82500.0,80700.0,82400.0,20038422
80115.0546875,82000.0,2021-03-11,82500.0,81000.0,81000.0,23818297
80896.671875,82800.0,2021-03-12,83500.0,82400.0,83100.0,13530573
79919.6484375,81800.0,2021-03-15,82900.0,81800.0,82800.0,13735798
80896.671875,82800.0,2021-03-16,83000.0,82100.0,82200.0,12293537
80408.1640625,82300.0,2021-03-17,82900.0,82000.0,82800.0,11625146
80994.359375,82900.0,2021-03-18,83800.0,82600.0,82800.0,18585244
80017.359375,81900.0,2021-03-19,82500.0,81800.0,82100.0,15869700
80115.0546875,82000.0,2021-03-22,82300.0,81700.0,82000.0,12670506
79919.6484375,81800.0,2021-03-23,82900.0,81800.0,82600.0,13299907
79138.046875,81000.0,2021-03-24,81600.0,80700.0,81000.0,17926638
79333.4453125,81200.0,2021-03-25,82100.0,80800.0,81000.0,14758826
79626.5546875,81500.0,2021-03-26,81600.0,81000.0,81400.0,12845778
79724.2578125,81600.0,2021-03-29,81700.0,81000.0,81700.0,14952134
80667.3359375,82200.0,2021-03-30,82300.0,81300.0,81600.0,13121698
79882.2578125,81400.0,2021-03-31,82700.0,81400.0,82400.0,17240518
81354.2734375,82900.0,2021-04-01,83000.0,82000.0,82500.0,18676461
83218.8671875,84800.0,2021-04-02,85200.0,83900.0,84000.0,22997538
83807.6640625,85400.0,2021-04-05,86000.0,84800.0,85800.0,16255990
84396.484375,86000.0,2021-04-06,86200.0,85100.0,86200.0,19042023
84003.9453125,85600.0,2021-04-07,86200.0,85400.0,86100.0,17885538
83120.7265625,84700.0,2021-04-08,85700.0,84100.0,85700.0,19244259
82041.234375,83600.0,2021-04-09,84900.0,83400.0,84700.0,18193707
81648.6953125,83200.0,2021-04-12,84100.0,83100.0,84100.0,12915282
82433.7734375,84000.0,2021-04-13,84500.0,82800.0,83000.0,15238206
82433.7734375,84000.0,2021-04-14,84300.0,83400.0,84000.0,13794652
82531.9140625,84100.0,2021-04-15,84500.0,83400.0,83700.0,16377412
82335.640625,83900.0,2021-04-16,84700.0,83600.0,84700.0,15429522
81746.8203125,83300.0,2021-04-19,84000.0,83300.0,83800.0,15287311
82335.640625,83900.0,2021-04-20,84000.0,83100.0,83300.0,15521965
81059.875,82600.0,2021-04-21,83500.0,82500.0,83300.0,21636079
80863.6171875,82400.0,2021-04-22,83000.0,82400.0,82900.0,13934746
81256.1484375,82800.0,2021-04-23,82900.0,81600.0,81900.0,17805080
81943.09375,83500.0,2021-04-26,83500.0,82600.0,82900.0,15489938
81354.2734375,82900.0,2021-04-27,83300.0,82500.0,83200.0,12941533
80569.1953125,82100.0,2021-04-28,83200.0,82100.0,83200.0,15596759
80176.65625,81700.0,2021-04-29,82500.0,81500.0,82400.0,20000973
79980.390625,81500.0,2021-04-30,82100.0,81500.0,81900.0,18673197
80176.65625,81700.0,2021-05-03,82400.0,81000.0,81000.0,15710336
81059.875,82600.0,2021-05-04,82600.0,81800.0,81900.0,12532550
80765.46875,82300.0,2021-05-06,82300.0,81700.0,81700.0,17047511
80372.9296875,81900.0,2021-05-07,82100.0,81500.0,81800.0,14154882
81648.6953125,83200.0,2021-05-10,83500.0,81800.0,82300.0,19385027
79685.9765625,81200.0,2021-05-11,82600.0,81100.0,82500.0,28996680
78508.359375,80000.0,2021-05-12,81200.0,79800.0,80800.0,35812268
77036.328125,78500.0,2021-05-13,79600.0,78400.0,78900.0,31490096
78606.484375,80100.0,2021-05-14,80300.0,78900.0,79000.0,16450920
78115.8203125,79600.0,2021-05-17,80900.0,79200.0,80800.0,17740855
78115.8203125,79600.0,2021-05-18,80000.0,79100.0,79600.0,17494407
78017.671875,79500.0,2021-05-20,79700.0,79100.0,79400.0,16541828
78606.484375,80100.0,2021-05-21,81500.0,79800.0,80100.0,20961714
78213.953125,79700.0,2021-05-24,80400.0,79500.0,80100.0,13398666
78410.2265625,79900.0,2021-05-25,80400.0,79800.0,80000.0,13628942
78312.0859375,79800.0,2021-05-26,80500.0,79700.0,80400.0,11984359
78115.8203125,79600.0,2021-05-27,80000.0,79100.0,80000.0,23198510
78606.484375,80100.0,2021-05-28,80400.0,79400.0,79800.0,12360199
78999.0234375,80500.0,2021-05-31,80600.0,79600.0,80300.0,13321324
79097.171875,80600.0,2021-06-01,81300.0,80100.0,80500.0,14058401
79293.4453125,80800.0,2021-06-02,81400.0,80300.0,80400.0,16414644
81256.1484375,82800.0,2021-06-03,83000.0,81100.0,81300.0,29546007
80667.3359375,82200.0,2021-06-04,82700.0,81500.0,82700.0,18112259
80372.9296875,81900.0,2021-06-07,82800.0,81600.0,82700.0,16496197
80372.9296875,81900.0,2021-06-08,82600.0,81800.0,82300.0,12781226
79587.84375,81100.0,2021-06-09,82000.0,81100.0,81500.0,14908823
79489.7109375,81000.0,2021-06-10,81400.0,80900.0,81300.0,17586995
